,predicted avg price
0,5.312978719389047
1,6.036386127520341
2,6.078517806920425
3,6.428878526578078
4,6.553937042329286
5,6.613546004515811
6,7.324893757636914
7,6.823269940989727
8,7.2611341919092585
9,7.108545834721353
10,7.286550442272416
11,8.51808734416829
12,11.02341156896119
13,8.55293481467345
14,10.05878437889246
15,11.56134165863049
16,11.188723998667701
17,11.114721048828926
18,9.32970303534851
19,10.693869491579015
20,11.09242790434607
21,11.145632441711916
22,10.37768762894504
23,8.42471481100022
24,9.491252657223356
25,9.693140105920993
26,10.390862589174269
27,10.24358654544417
28,9.763374389865659
29,8.994909111849367
30,9.106135527462612
31,28.702760411580567
32,34.701400361003984
33,29.875158662917173
34,30.286576949624866
35,30.1950333845412
36,31.35691517295121
37,32.13809336636162
38,30.770367418701106
39,30.440711305327916
40,30.021509278361506
41,29.62901523926483
42,29.57514577612406
43,30.543034178799157
44,31.55877117492048
45,32.68963363791772
46,30.00147083837588
47,30.742546031684622
48,30.792400824602012
49,30.389927962165043
50,31.22021777864245
51,31.66276540598131
52,32.30056904888837
53,33.16828661326463
54,31.040626178928434
55,32.43427069700846
56,33.81025342019039
57,33.77680672107236
58,33.24261148380435
59,34.355421963579175
60,33.48099533793188
61,5.377170060036436
62,10.458541667373378
63,16.16330592651335
64,16.311946880974638
65,16.12099493752684
66,16.6121106963333
67,16.85624085959058
68,16.646868432559152
69,14.023862853929096
70,14.700508226374108
71,14.715406210301582
72,15.04563230718666
73,14.922161294849074
74,15.533880175785916
75,16.849117684286554
76,14.410248813558482
77,14.870824655415198
78,14.763851837440361
79,14.379460280708084
80,14.657249226088911
81,14.33296917507085
82,14.140081902422759
83,13.946416407248238
84,13.637537054176695
85,15.202602687745792
86,15.92535827940689
87,16.014597377332496
88,7.851814710120487
89,15.784100362092367
90,14.875023105242589
91,15.045477756290966
